Prime#,Prime Reciprocal,Pattern Length
2,0.5,0
3,0.3333333333333333,1
5,0.2,0
7,0.14285714285714285,6
11,0.09090909090909091,2
13,0.07692307692307693,6
17,0.058823529411764705,16
19,0.05263157894736842,18
23,0.043478260869565216,22
29,0.034482758620689655,28
31,0.03225806451612903,15
37,0.02702702702702703,3
41,0.024390243902439025,5
43,0.023255813953488372,21
47,0.02127659574468085,46
53,0.018867924528301886,13
59,0.01694915254237288,58
61,0.01639344262295082,60
67,0.014925373134328358,33
71,0.014084507042253521,35
73,0.0136986301369863,8
79,0.012658227848101266,13
83,0.012048192771084338,41
89,0.011235955056179775,44
97,0.010309278350515464,96
101,0.009900990099009901,4
103,0.009708737864077669,34
107,0.009345794392523364,53
109,0.009174311926605505,108
113,0.008849557522123894,112
127,0.007874015748031496,42
131,0.007633587786259542,130
137,0.0072992700729927005,8
139,0.007194244604316547,46
149,0.006711409395973154,148
151,0.006622516556291391,75
157,0.006369426751592357,78
163,0.006134969325153374,81
167,0.005988023952095809,166
173,0.005780346820809248,43
179,0.00558659217877095,178
181,0.0055248618784530384,180
191,0.005235602094240838,95
193,0.0051813471502590676,192
197,0.005076142131979695,98
199,0.005025125628140704,99
211,0.004739336492890996,30
223,0.004484304932735426,222
227,0.004405286343612335,113
229,0.004366812227074236,228
233,0.004291845493562232,232
239,0.0041841004184100415,7
241,0.004149377593360996,30
251,0.00398406374501992,50
257,0.0038910505836575876,256
263,0.0038022813688212928,262
269,0.0037174721189591076,268
271,0.0036900369003690036,5
277,0.0036101083032490976,69
281,0.0035587188612099642,28
283,0.0035335689045936395,141
293,0.0034129692832764505,146
307,0.003257328990228013,153
311,0.003215434083601286,155
313,0.003194888178913738,312
317,0.0031545741324921135,79
331,0.0030211480362537764,110
337,0.002967359050445104,336
347,0.002881844380403458,173
349,0.0028653295128939827,116
353,0.0028328611898017,32
359,0.002785515320334262,179
367,0.0027247956403269754,366
373,0.002680965147453083,186
379,0.002638522427440633,378
383,0.0026109660574412533,382
389,0.002570694087403599,388
397,0.0025188916876574307,99
401,0.0024937655860349127,200
409,0.0024449877750611247,204
419,0.002386634844868735,418
421,0.0023752969121140144,140
431,0.002320185614849188,215
433,0.0023094688221709007,432
439,0.002277904328018223,219
443,0.002257336343115124,221
449,0.0022271714922048997,32
457,0.002188183807439825,152
461,0.0021691973969631237,460
463,0.0021598272138228943,154
467,0.0021413276231263384,233
479,0.0020876826722338203,239
487,0.002053388090349076,486
491,0.002036659877800407,490
499,0.002004008016032064,498
503,0.0019880715705765406,502
509,0.0019646365422396855,508
521,0.0019193857965451055,52
523,0.0019120458891013384,261
541,0.0018484288354898336,540
547,0.0018281535648994515,91
557,0.0017953321364452424,278
563,0.0017761989342806395,281
569,0.0017574692442882249,284
571,0.0017513134851138354,570
577,0.0017331022530329288,576
587,0.0017035775127768314,293
593,0.0016863406408094434,592
599,0.001669449081803005,299
601,0.0016638935108153079,300
607,0.0016474464579901153,202
613,0.0016313213703099511,51
617,0.0016207455429497568,88
619,0.0016155088852988692,618
631,0.001584786053882726,315
641,0.0015600624024961,32
643,0.0015552099533437014,107
647,0.0015455950540958269,646
653,0.0015313935681470138,326
